ID,Investigators,Institution,Title,Submit_Year,Start_Year,Description
201715,Dr Rosemary  Masterson,Melbourne Health,Functional antagonists of renal myofibroblast activity,2001,2002,
202011,E/Pr Herbert H. Bolotin,RMIT University,The Effects Of Inherent Inaccuracies In DXA In Vivo BMD Measurements On Osteopenic/Osteoporotic Diagnostics/Prognositics,2001,2002,
202302,Dr Viive M Howell,Royal North Shore Hospital,Molecular Genetics of Hyperparathyroidism,2001,2002,
202303,Dr Suzanne A Campbell,Royal North Shore Hospital,the role of cellular interactions in regulating MMP production at the materno-fetal interface in pre-eclampsia,2001,2002,
202304,Dr Geraldine  M Hassett,University of Sydney,"Epidemiology of lumbar spine, hip and hand osteoarthritis",2001,2002,
202904,A/Pr Peter T Bye,Royal Prince Alfred Hospital,Assessment of Physical Therapies to Improve Secretion Clearance in Patients with Cystic Fibrosis,2001,2002,
202907,Prof Susan J Clark,Garvan Institute of Medical Research,Analysis of very early cancer-related methylation abnomalities,2001,2002,
202916,Prof Ronald R Grunstein,Royal Prince Alfred Hospital,Sleep disordered breathing - effects and outcomes,2001,2002,
202921,Dr Catherine J Dobbin,Royal Prince Alfred Hospital,"Sleep disordered breathing, Sleep quality, Cough and Neurobehavioual Function in Patients with Cystic Fibrosis",2001,2002,
203203,A/Pr Jocelyn N O'Neil (Pennefather),"Royal Women's Hospital, Melbourne",Effects of tachykinins on uterine contractility,2001,2002,
204700,Prof Anthony JF d'Apice,St Vincent's Health,Immune responses to the alpha-Gal xenoantigen,2001,2002,
204702,Dr Chen Au  Peh,Royal Adelaide Hospital,Tapasin and Major Histocompatibility Complex Class I Antigen Presentation,2001,2002,
204705,Prof Brendan F Murphy,St Vincent's Health,"Function of Factor H-related protein-5, a novel human plasma complement protein found in glomerular immune deposits",2001,2002,
204706,Ms Carolyn E Lethborg,St Vincent's Health,"Spirituality hope and meaning-focused coping, its impact on well-being in palliative care",2001,2002,
204708,Dr Karen M Dwyer,St Vincent's Health,Intravascular coagulopathy in discordant  xenotransplantation,2001,2002,
205304,Prof Michael W Parker,St.Vincent's Institute of Medical Research,Uncoupled Research Fellowship,2001,2002,
205305,Dr Jorg  Heierhorst,St.Vincent's Institute of Medical Research,Uncoupled Research Fellowship,2001,2002,
205306,Dr Pantelis  Poumbourios,St.Vincent's Institute of Medical Research,Molecular insights into HIV and HTLV fusion.,2001,2002,
205313,Mr Chan-Sien  Lay,St.Vincent's Institute of Medical Research,Biochemical & Structural Charaterization of Retroviral Envelope Glycoptoteins,2001,2002,
206501,Prof Louise  Baur,The Children's Hospital at Westmead,Family and environment in the development of obesity and precursors of diabetes and heart disease in adolescence,2001,2002,
206507,A/Pr Karen A Waters,University of Sydney,Interactions between respiratory control during early development and sleep breathing abnormalities in infants & Childre,2001,2002,
206522,Dr Gregory J Pelka,The Children's Hospital at Westmead,Development of mouse models of rett syndrome,2001,2002,
206525,Ms Premala  Sureshkumar,University of Sydney,Urinary tract infection and persistent daytime wetting-a population based cohort study,2001,2002,
206527,Miss Harriet P Lo,The Children's Hospital at Westmead,Role of dysferlin and calpain 3 in limb-girdle muscular dystrophy,2001,2002,
206529,Dr Nigel F Clarke,The Children's Hospital at Westmead,"Congenital Fibre Type Disproportion: A Clinical, Pathological and Moecular Study",2001,2002,
207700,Dr Mark A Gibson,University of Adelaide,"Elastic fibre-matrix interactions important for tissue development, morphology and function",2001,2002,
207701,Prof Nick L Fazzalari,University of Adelaide,Molecular determinants of bone remodelling in the bone microenvironment,2001,2002,
207703,Prof Grant R Sutherland,University of Adelaide,Understanding the human genome: Molecular mechanisms of genetic disease,2001,2002,
207708,Prof Sharad  Kumar,University of Adelaide,Regulation of the epithelial sodium channel by the Nedd4-like protein KIAA0439,2001,2002,
207710,Prof Jason M White,University of Adelaide,Clinical pharmacology of methadone during induction onto maintenance treatment.,2001,2002,
207711,A/Pr Jane L Mathias,University of Adelaide,"Modelling traumatic brain injury using neuropsychological, neurosurgical, neurochemical, and neuroradiological measures",2001,2002,
207721,Prof James C Paton,University of Adelaide,Pathogenesis and prevention of Shiga toxigenic Escherichia coli infections,2001,2002,
207722,Prof James C Paton,University of Adelaide,Molecular analysis of pneumococcal disease,2001,2002,
207728,Prof Jeffrey S Robinson,University of Adelaide,Early origins of adult disease,2001,2002,
207729,A/Pr Kemal S Turker,University of Adelaide,Control of mastication by periodontal mechanoreceptors in man,2001,2002,
207730,A/Pr Kemal S Turker,University of Adelaide,Uncoupled Research Fellowship,2001,2002,
207736,Prof John D Horowitz,University of Adelaide,(a) Pathogenesis of aortic stenosis : relationship to valvular endothelial function.,2001,2002,
207740,Prof David I Watson,University of Adelaide,Ablative therapies for Barrett's Oesophagus - evaluation of new clinical and experimental therapies,2001,2002,
207744,Prof Caroline A Crowther,University of Adelaide,Antioxidants vitamin C and vitamin E for the prevention of pre-eclampsia - a randomised controlled trial,2001,2002,
207753,A/Pr Robert J Fraser,University of Adelaide,Upper gastrointestinal motor and absorptive function in critically ill patients,2001,2002,
207762,A/Pr David J Kennaway,University of Adelaide,Phase shifting endocrine and sleep/activity rhythms with light and serotonergic drugs,2001,2002,
207765,Prof Antonio  Ferrante,University of Adelaide,Regulation of TNF receptor expression by omega-6 and omega-3 polyunsaturated fatty acids,2001,2002,
207768,Prof Shaun R McColl,University of Adelaide,Understanding the role of chemokine receptor modulation in T cell trafficking,2001,2002,
207770,A/Pr David A Saint,University of Adelaide,The effect of dietary fatty acids on cellular calcium handling mechanisms in cardiac muscle,2001,2002,
207774,A/Pr Jane M Chalmers,University of Adelaide,The South Australian Dental Longitudinal Study,2001,2002,
207778,Prof Timothy S Miles,University of Adelaide,Control of human jaw posture and movements,2001,2002,
207780,Prof Michael G Sawyer,University of Adelaide,Parenting style as a mediator of psychosocial risk factors and childhood externalizing behaviour problems,2001,2002,
207792,Prof Robert  Vink,University of Adelaide,Characterisation of Substance P antagonists as a novel therapeutic intervention for use in traumatic brain injury,2001,2002,
207803,Prof Lindsay C Richards,University of Adelaide,Biology of tooth wear: experimental studies,2001,2002,
207806,Prof A John  Spencer,University of Adelaide,The effectiveness of consuming fluoridated water in reducing children's caries experience.,2001,2002,
207809,A/Pr Robert I Richards,University of Adelaide,Function of FOR gene products in normal and cancer cells,2001,2002,
207812,Dr Grigori Y Rychkov,University of Adelaide,Store-operated calcium channels and liver function,2001,2002,
207813,Prof Alexander C McFarlane,University of Adelaide,Adult consequences of childhood exposure to psychological trauma,2001,2002,
207815,Mr Peter J Hewett,University of Adelaide,AUSTRALASIAN MULTICENTRED PROSPECTIVE RANDOMISED STUDY OF LAPAROSCOPIC VS CONVENTIONAL SURGICAL TREATMENT OF COLON CA,2001,2002,
207817,Dr Michael R Beard,University of Adelaide,Induction of Reactive Oxygen Species by Hepatitis C Virus and its Role in Liver Pathogenesis.,2001,2002,
207820,A/Pr Murray L Whitelaw,University of Adelaide,Activation mechanisms of the Hypoxia Inducible Factor-1a (HIF-1a) and  the HIF-Like-Factor,2001,2002,
207830,Dr Louise V O'Keefe,University of Adelaide,Functional studies of the FOR proteins and the role of expanded repeat sequences in neurodegenerative disorders,2001,2002,
207838,Dr Catherine L Coulter,University of Adelaide,Fetal Programming of Adult Disease,2001,2002,
208900,Dr Barbara S. Coulson,University of Melbourne,"Roles of integrins in rotavirus cell attachment, entry and tropism",2001,2002,
208908,A/Pr Grant A McArthur,University of Melbourne,Coordination of withdrawal from the cell cycle by transcriptional repression,2001,2002,
208911,Prof Marilyn B Renfree,University of Melbourne,Novel mechanisms for virilisation,2001,2002,
208913,A/Pr Geoffrey J Howlett,University of Melbourne,The structural basis for amyloid formation by human apolipoproteins,2001,2002,
208918,Dr Ann M Turnley,University of Melbourne,Suppressor of Cytokine Signalling-2 (SOCS2) and its role in neuronal development and function,2001,2002,
208926,A/Pr Graham S Baldwin,University of Melbourne,Uncoupled Reseach Fellowship,2001,2002,
208927,A/Pr Colette M McKay,University of Melbourne,Improved perception of temporal information in electrical signals for profoundly deaf users of cochlear implants,2001,2002,
208929,A/Pr Heung-Chin  Cheng,University of Melbourne,Regulation of the tumour suppressor PTEN by phosphorylation and oligomerization,2001,2002,
208930,A/Pr Ricky W Johnstone,University of Melbourne,Characterisation of the anti-apoptotic function of P-glycoprotein and transcriptional regulation of the MDR1 gene,2001,2002,
208937,A/Pr Sandra M Rees,University of Melbourne,INVESTIGATING THE VALIDITY OF PRENATAL INSULTS AS RISK FACTORS FOR SCHIZOPHRENIA.,2001,2002,
208938,A/Pr Sandra M Rees,University of Melbourne,FETAL BRAIN INJURY RESULTING FROM  INTRAUTERINE INFECTION: LONG TERM CONSEQUENCES AND THE POTENTIAL FOR INTERVENTION,2001,2002,
208940,Prof Mark E Cooper,University of Melbourne,Characterisation of Novel AGE Binding Proteins:  Implications for Diabetic Vascular Complications.,2001,2002,
208945,Dr Sofianos  Andrikopoulos,University of Melbourne,Investigation of the genetic basis of insulin hypersecretion in a mouse model of pancreatic islet failure,2001,2002,
208948,A/Pr Mary E Wlodek,University of Melbourne,Roles of PTHrP and calcium in mammary function in perinatal growth restriction,2001,2002,
208950,Dr Erica L Fletcher,University of Melbourne,TRAFFICKING OF METABOLITES BETWEEN M LLER CELLS AND NEURONS IN DIABETIC RETINOPATHY.,2001,2002,
208955,Prof Antony W Goodwin,University of Melbourne,Neural mechanisms underlying human grasp and manipulation,2001,2002,
208957,Prof Arthur  Shulkes,University of Melbourne,Bombesin like peptides as autocrine growth factors in colorectal cancer,2001,2002,
208960,Prof Eleanor J Mackie,University of Melbourne,The role of protease-activated receptor-2 in regulation of bone metabolism,2001,2002,
208961,Prof Daine G Alcorn,RMIT University,NEPHROTOXICITY OF ANGIOTENSIN INHIBITION DURING RENAL DEVELOPMENT,2001,2002,
208969,A/Pr Christopher G Sobey,University of Melbourne,MECHANISMS OF CEREBROVASCULAR REGULATION IN HEALTH AND DISEASE,2001,2002,
208973,Prof Stephen B Harrap,University of Melbourne,Physiological genomic analysis of Lvm-1 - a genetic locus that determines left ventricular mass,2001,2002,
208975,Prof Stephen B Harrap,University of Melbourne,Linkage and sequence analysis of a locus on the X chromosome that contributes to population variation in blood pressure,2001,2002,
208978,Prof Colin L Masters,University of Melbourne,Neurodegenerative diseases of the ageing brain: diagnosis & therapy based on the study of aggregated protein  deposition,2001,2002,
208981,Prof James  McCluskey,University of Melbourne,"Antigen presentatiion, recognition and the immune response",2001,2002,
208984,Prof Neville D Yeomans,University of Melbourne,Mechanisms of repair and adaptation in the gastric mucosa: roles of COX-2 and growth factors,2001,2002,
208985,Dr Theo  Mantamadiotis,University of Melbourne,Convergence of activated c-myb and Wnt pathways in colon cancer,2001,2002,
208994,Prof Jeffrey D Zajac,University of Melbourne,The physiological relevance of calcitonin in osteoclast function,2001,2002,
208998,A/Pr Peter J Blamey,University of Melbourne,Uncoupled Research Fellowship,2001,2002,
209001,Prof Joseph  Proietto,University of Melbourne,Investigation of transgenic mouse models of Type 2 diabetes,2001,2002,
209002,Prof Joseph  Proietto,University of Melbourne,The effect of overexpression and underexpression of beacon in transgenic mice,2001,2002,
209011,Dr Gary R Hime,University of Melbourne,Discovery of novel oncogenes and tumour suppressor genes via genetic interactions with Drosophila Cbl.,2001,2002,
209014,Prof Ego  Seeman,University of Melbourne,Is periosteal bone formation responsible for sexual dimorphism in bone fragility,2001,2002,
209018,Dr Helena E Richardson,University of Melbourne,THE ROLE OF A NOVEL NEGATIVE CELL CYCLE REGULATORY  PATHWAY DURING ANIMAL DEVELOPMENT,2001,2002,
209026,Prof Mark E Cooper,University of Melbourne,Role of vasoactive hormones and cytokines in diabetic nephropathy,2001,2002,
209042,Prof Eric C Reynolds,University of Melbourne,Anticariogenic casein phosphopeptide-amorphous calcium fluoride phosphate,2001,2002,
209045,Prof Wayne A Morrison,University of Melbourne,Engineering tissues and organs in vivo from stem cells,2001,2002,
209046,A/Pr Brian  Dean,University of Melbourne,A Study of Muscarinic Receptors in Brain Tissue Obtained Postmortem from Subjects with Schizophrenia,2001,2002,
209057,Prof Graham  GILES,University of Melbourne,"Epidemiology of Chronic Disease, Health Interventions and DNA Studies",2001,2002,
209062,Prof Patrick D McGorry,University of Melbourne,A prospective study investigating implications of bioactive lipids  for diagnosis and treatment of schizophrenia,2001,2002,
209064,Prof Kim L Bennell,University of Melbourne,Disruption and restoration of motor control in musculoskeletal pathology: Implications for physiotherapy management,2001,2002,
209067,Dr Vincenzo C Russo,University of Melbourne,IGF BINDING PROTEIN-2 A MODULATOR OF IGF ACTION IN DEVELOPING AND NEOPLASTIC NEURONAL CELLS.,2001,2002,
209068,A/Pr Marshall W. Lightowlers,University of Melbourne,Cyclophilins in Echinococcus granulosus,2001,2002,
209077,Dr Christopher J Wraight,University of Melbourne,Epidermal growth control in psoriasis and normal skin,2001,2002,
209080,A/Pr Lorena E Brown,University of Melbourne,Mimetics of natural triggers of innate immunity as vaccines,2001,2002,
209081,Prof Eric C Reynolds,University of Melbourne,The RgpA-Kgp proteinase-adhesin complex and virulence of Porphyromonas gingivalis,2001,2002,
209083,Prof Arthur  Christopoulos,University of Melbourne,Molecular Mechanisms of G Protein-Coupled Receptor Cross Talk,2001,2002,
209090,A/Pr Susan K Nilsson,University of Melbourne,The role of hyaluronic acid in the biology of haemopoietic stem cells,2001,2002,
209094,Prof Geoffrey  Nicholson,University of Melbourne,Characterisation of human osteoclastogenesis,2001,2002,
209113,Prof Wayne A Morrison,University of Melbourne,THE ROLE OF RESIDENT MAST CELLS IN ISCHAEMIA-REPERFUSION INJURY OF SKELETAL MUSCLE.,2001,2002,
209118,Dr Donald F Newgreen,University of Melbourne,Identification of genes involved in neural crest development,2001,2002,
209119,Prof John A Trinder,University of Melbourne,Upper Airway Dilator Muscle Activity During Sleep Onset.,2001,2002,
209123,Dr Samuel YK Ngan,University of Melbourne,A randomised trial of preoperative radiotherapy for stage T3 adenocarcinoma of rectum,2001,2002,
209125,A/Pr Roger F Martin,University of Melbourne,DNA-targeted radioimmunotherapy,2001,2002,
209130,Prof Julie E Bines,University of Melbourne,Intestinal adaptation following massive small intestinal resection: mechanisms and management,2001,2002,
209134,Prof Jennifer AM Graves,Australian National University,"Characterization of a novel human X-linked gene RBMX, a candidate for X-linked mental retardation",2001,2002,
209149,Dr Katarzyna (Katherine)  Kedzierska,University of Melbourne,Molecular and functional analysis of virus-specific memory CD8+T cells,2001,2002,
209153,Dr Robin L Tideman,University of Melbourne,Improving public health control of STIs using risk profiles of clients attending STI services,2001,2002,
209157,Dr Marie J Estcourt,University of Western Australia,Analysis of CD8 T cell memory generation following cell mediated vaccination strategies.,2001,2002,
209160,A/Pr Christopher G Sobey,University of Melbourne,Mechanisms of cerebrovascular regulation in health and disease,2001,2002,
209163,Dr Victoria A Lawson,University of Melbourne,The associations of mutations linked to familial forms of transmissible spongiform encephalopathy diseases ,2001,2002,
209167,Dr GABRIEL T LIBERATORE,University of Melbourne,rHDL as a therapy for ischaemic stroke: mechanisms of neuroprotection,2001,2002,
209168,Dr Kay M Crossley,University of Melbourne,Factors affecting motor control and loading of the patellofemoral joint,2001,2002,
209169,Dr Stuart J Warden,University of Melbourne,The response of bone to mechanical stimuli.,2001,2002,
209171,Dr James G Beeson,Walter and Eliza Hall Institute,Immune determinants of protection from malaria during pregnancy - antibodies to parasite variant and adhesive antigens.,2001,2002,
209173,Dr Deborah J Warr,University of Melbourne,Social processes fro health: Mobilising social capital in contexts of socioeconomic disadvantage,2001,2002,
209177,Dr Karen M Moritz,Monash University,Regulation of growth and nephron formation in the fetal kidney,2001,2002,
209178,Dr Sally R Clarke,University of Melbourne,The role of antigen presentation in the CD8+T cell responseto herpes simplex virus-1,2001,2002,
209180,Dr Andrew P Morokoff,University of Melbourne,ErbB2 in the pathogenesis of malignant cerebral glioma,2001,2002,
209181,Dr Rebecca L Bertrand (nee Monro),University of Melbourne,Calcium channel subtypes involved in neurotransmitter release in the enteric nervous system,2001,2002,
209183,Dr Brian  McCoy,University of Melbourne,Indigenous trauma and young men,2001,2002,
209185,Ms Donna M Southern,University of Melbourne,Development and validation of a measure of primary care provision in Australian General Practice.,2001,2002,
209187,Dr Ivan  Stratov,University of Melbourne,DNA and avipox vaccines for HIV.,2001,2002,
209188,Dr Diem-Thuy  Dinh,Baker IDI Heart and Diabetes Institute,Subcellular localisation and role in cellular proliferation of the serine/threonine kinase Akt isoform upon activation ,2001,2002,
209189,Dr Peter P Tagkalidis,University of Melbourne,Studies into the pathogenesis of lymphocytic colitis,2001,2002,
209191,Mr Lucio  Naccarella,University of Melbourne,Measuring and describing patterns of interactions between GPsand other primary health care providers,2001,2002,
209193,Dr Peter F Mount,University of Melbourne,Energy-dependent phosphorylation of neuronal nitric oxide synthase in the kidney.,2001,2002,
209194,Ms Anne E Holland,University of Melbourne,Chest physiotherapy in cystic fibrosis - effects of flow limitation and assisted ventilation.,2001,2002,
209196,Mr Theo  Gouskos,University of Melbourne,Restoration of HBV replication fitness by the development of compensatory mutations in the viral polymerase,2001,2002,
209197,Dr Andrew  Boyle,University of Melbourne,The role of the mast cell in left ventricular remodelling following myocardial infarction,2001,2002,
209198,Mr Peter  Parashos,University of Melbourne,"Usage, Properties and Behaviour of Nickel-Titanium Endodontic in Root Canal Debridement",2001,2002,
209200,Dr Margaret L Brechman-Toussaint,University of New England,"Prevention of childhood anxiety: A parent-focused approach, targeting the school transition",2001,2002,
209500,Prof Steven A Krilis,University of New South Wales,Characterisation of an in-vivo thrombosis animal model of the antiphospholipid syndrome using Beta 2-GPI KO mice,2001,2002,
209504,Dr Bettina  Meiser,University of New South Wales,A randomised trial of a decision aid for women at increased risk for ovarian cancer,2001,2002,
209512,A/Pr Ann M.E. Bye,University of New South Wales,Health-Related Quality of Life in Intractable Paediatric Epilepsy: Using a New Measure to Improve Management,2001,2002,
209521,Dr Asne R Bauskin,University of New South Wales,Novel mechanisms in regulating cytokine secretion in the inflammatory response,2001,2002,
209523,Dr Kay L Double,University of New South Wales,CELLULAR FUNCTIONS OF HUMAN NEUROMELANIN,2001,2002,
209540,Prof Paul MG Curmi,University of New South Wales,"Probing the control and action of CLIC1/NCC27, an unusual chloride ion channel, by x-ray crystallography",2001,2002,
209547,A/Pr Jamie I Vandenberg,University of New South Wales,HERG K+ channels: Molecular basis of gating,2001,2002,
209548,Prof Bruce J Brew,University of New South Wales,The kynurenine pathway chemokines and MIC-1 in the pathogenesis of AIDS dementia complex.,2001,2002,
209568,Dr Jane L Henry,University of New South Wales,Cognitive-behaviour therapy for tinnitus: dismantling study to maximise treatment efficacy,2001,2002,
209577,Prof Reginald F Westbrook,University of New South Wales,"Increased vulnerability to stress during opiate dependence: Molecular, anatomical, and behavioural correlates",2001,2002,
209578,Prof Kenneth M Hillman,University of New South Wales,MEDICAL EARLY RESPONSE INTERVENTION AND THERAPY (MERIT): A RANDOMISED CLINICAL TRIAL,2001,2002,
209583,Prof Phil M. E. Waite,University of New South Wales,Repairing the injured spinal cord:  potential for human olfactory ensheathing cells,2001,2002,
209588,Prof Richard A Bryant,University of New South Wales,Enhancing Treatment Effectiveness in Acute Stress Disorder,2001,2002,
209590,A/Pr Andrew M Collins,University of New South Wales,"B-1 B cells as a source of polyreactive IgE antibodies, in allergic individuals",2001,2002,
209599,Prof Murray D Norris,University of New South Wales,The use of Minimal Residual Disease detection to improve treatment outcome in childhood acute lymphoblastic leukaemia,2001,2002,
209600,Prof Michelle  Haber,University of New South Wales,Downregulation of N-myc oncogene expression as a therapeutic strategy for childhood neuroblastoma.,2001,2002,
209612,Dr Jonathan H Erlich,University of New South Wales,The role of tissue factor in the regulation of extracellular matrix remodelling and angiogenesis.,2001,2002,
209618,Prof Colin N Chesterman,University of New South Wales,Vascular Biology,2001,2002,
209620,A/Pr Glenn M Marshall,University of New South Wales,"Transcriptional regulation of the tumour suppressor gene, retinoic acid receptor beta",2001,2002,
209632,Dr James A Brock,University of New South Wales,Peripheral mechanisms involved in autonomic hyperreflexia,2001,2002,
209633,Prof Stephen R Lord,University of New South Wales,Uncoupled Reseach Fellowship,2001,2002,
209635,Dr Nick  Di Girolamo,University of New South Wales,The role of collagenase (MMP-1) in the pathogenesis of human pterygia,2001,2002,
209653,Prof Philip J Hogg,University of New South Wales,Consequences of Disulfide Exchange in CD4 for Function,2001,2002,
209655,Prof Levon M Khachigian,University of New South Wales,Uncoupled Research Fellowship,2001,2002,
209667,Dr Louise A Rafty,University of New South Wales,Molecular and cellular characterisation of the SIR2 family of enzymes.,2001,2002,
209668,Dr Claire M Vajdic,University of New South Wales,Epidemiological studies of the association between immune deficiency & cancer,2001,2002,
209671,Dr Nicholas  Lintzeris,University of New South Wales,Examining pharmacotherapy treatment systems for heroin dependence.,2001,2002,
209683,Dr Rosemary  Aldrich,University of New South Wales,"An analysis of Commonwealth health policy for Aboriginal & Torres Strait Islander peoples,1973-2000",2001,2002,
209688,Mr Adam  S Hamlin,University of Sydney,Functional neuroanotomy of stress in opioid dependent rats,2001,2002,
209690,Mr Yan-Lin (Yan Ling)  Kao (GAO),University of New South Wales,The role of innate hostcharacteristics in the outcome of severe meningococcal disease,2001,2002,
209692,Dr Johanna  L Kohlhagen,University of New South Wales,"Insulin sensitivity, body composition and vascular risk factors in early renal impairment",2001,2002,
209696,Dr Timothy M Nolan,University of New South Wales,The role of ultraviolet light and intercellular mediators in the pathogenesis of pterygia formation,2001,2002,
209701,Ms Vanessa K Rose,University of New South Wales,Health care attitudes of people of low socia-economic status upon health care utilisation,2001,2002,
209707,Dr Kingsley  Storer,University of New South Wales,Gene therapy enhancement of radiosurgery for cerebral arteriovenous malformations,2001,2002,
209799,Prof Stephen R Lord,University of New South Wales,Prevention of Injuries in Older People,2001,2002,
209801,Prof Jim  Denham,University of Newcastle,Optimal duration of neoadjuvant androgen deprivation therapy in localised prostate cancer,2001,2002,
209804,Prof Afaf  Girgis,University of Newcastle,Improving outcomes for people with cancer: Consultation skills training with oncologists,2001,2002,
209811,Prof John F Forbes,University of Newcastle,Follow-up phase of a randomised trial of Tamoxifen or placebo for breast cancer prevention in high risk women.,2001,2002,
209823,Prof Peter  Hersey,University of Newcastle,IMMUNOTHERAPY OF MELANOMA WITH DENDRITIC CELL VACCINES,2001,2002,
209828,Prof Patricia T Michie,University of Newcastle,"Abnormal auditory system  function in schizophrenia: an ERP and MEG study of its origin, course and generality.",2001,2002,
209833,Prof ROGER  SMITH,University of Newcastle,Endocrine and molecular regulation of placental CRH expression,2001,2002,
209835,Prof Warwick B Giles,University of Newcastle,Multicentre Trial of Calcium Channel Blocker versus Calcium Channel Blocker Plus Cox2 Inhibitor in Preterm Labour,2001,2002,
209838,Prof Michael B Calford,University of Newcastle,Neurosteroid modulation of GABA-inhibition in vivo: central auditory pathway models,2001,2002,
209839,Prof David A Henry,University of Newcastle,COX-2 INHIBITORS AS A CAUSE OF HEART AND RENAL FAILURE,2001,2002,
209841,Prof John AP Rostas,University of Newcastle,Mechanisms of Glutamate Receptor Maturation in Chicken Brain,2001,2002,
209853,A/Pr Adam  McCluskey,University of Newcastle,Antagonist of Corticotrophin Releasing Hormone as Therapeutic Agents for the Prevention of Premature Birth In Humans,2001,2002,
209857,Prof Peter R Dunkley,University of Newcastle,Control of catecholamine synthesis and secretion by angiotensin II.,2001,2002,
209858,Prof Rodney  Scott,University of Newcastle,A NESTED CASE CONTROL STUDY EVALUATING THE ASSOCIATION BETWEEN THE FACTOR V LEIDEN GENOTYPE AND ADVERSE PREGANCY OUTCOME,2001,2002,
209870,Dr LISA G WOOD,University of Newcastle,A nutritional approach to reducing oxidative stress and improving disease control in asthma,2001,2002,
209871,Dr Yang  WANG,University of Newcastle,Hunter area stroke incidence study,2001,2002,
209872,Ms Simone E De Morgan,University of Newcastle,Development of a patient decision-aid assisting women diagnosed with DCIS in treatment decsision-making,2001,2002,
209873,Mr Gregory  A Lawford,University of Newcastle,Community education strategies and clinical skills within the Indigenous Health framework,2001,2002,
209874,Dr Helen M Tolhurst,University of Newcastle,Multilevel cohort study of Aust U/Grads and recent grads in medicine and allied health professions on their attitudes to,2001,2002,
210109,Dr Julie R Jonsson,University of Queensland,Investigation of the role of the Renin-Angiotensin System in hepatic fibrosis.,2001,2002,
210112,Dr Germain J Fernando,University of Queensland,Optimising immunity towards cancers by vaccination.,2001,2002,
210127,Prof David V Pow,University of Newcastle,Uncoupled Research Fellowship,2001,2002,
210146,Dr James A St.John,University of Queensland,"Defining the role of EphA5 in olfactory axon growth, guidance and fasciculation",2001,2002,
210148,Prof Ian H Frazer,University of Queensland,Effective immunotherapy for HPV associated cervical cancer precursor lesions,2001,2002,
210149,Dr Nigel AJ McMillan,University of Queensland,HPV and cervical carcinoma: Signaling and clinical responses to interferons,2001,2002,
210156,Prof Paul B Colditz,University of Queensland,Extracellular acidosis and pH-modulating drugs as novel therapies for neuroprotection in hypoxia/ischemia in the newborn,2001,2002,
210159,Prof Darrell HG Crawford,University of Queensland,Iron metabolism and the cirrhotic liver:studies on iron absorption and hepatic iron kinetics,2001,2002,
210162,Dr Melissa A Brown,University of Queensland,"BRCA1, PML and telomere maintenance",2001,2002,
210169,Prof David E James,Garvan Institute of Medical Research,Molecular regulation of GLUT4 targeting,2001,2002,
210170,Prof David E James,Garvan Institute of Medical Research,Identification of insulin specific signal transduction pathways in adipocytes,2001,2002,
210172,Dr Fraser D Russell,University of Queensland,Urotensin-II in human heart: investigation of mechanisms involved in cardiac function,2001,2002,
210173,Prof Susan E Tett,University of Queensland,Pharmacokinetic and pharmacodynamic studies of the newer immunosuppressants,2001,2002,
210177,Dr Peter  Molenaar,University of Queensland,Contractile and relaxant effects of b2- and b1-adrenoceptors in human heart: blockade by a third generation b-blocker,2001,2002,
210181,Dr Carol A Wicking,University of Queensland,Uncoupled Research Fellowship,2001,2002,
210190,A/Pr Louise M Hickson,University of Queensland,Evaluating the Active Communication Education program for older people with hearing impairment,2001,2002,
210194,A/Pr Peter L Kaye,University of Queensland,"Glucose, glucose transporters and blastocyst formation in the mouse",2001,2002,
210215,Dr Elizabeth MJ Gillam,University of Queensland,A Novel Physiological Role for Cytochrome P450 Enzymes in the Brain?,2001,2002,
210217,Prof Thomas H Marwick,University of Queensland,Importance of the transmural distribution of viable myocardium to outcome of patients after revascularization,2001,2002,
210218,Prof Thomas H Marwick,University of Queensland,Development of quantitative tools for assessment of regional cardiac function by echocardiography,2001,2002,
210226,Prof David E James,Garvan Institute of Medical Research,Uncoupled Research Fellowship,2001,2002,
210232,Dr Hans J Netter,Monash University,Development  of a HBV-specific carrier matrix to induce an  immune response against quasispecies-like infectious agents,2001,2002,
210237,Prof Ranjeny  Thomas,University of Queensland,Induction of antigen-specific tolerance through inhibition of RelB function in dendritic cells,2001,2002,
210250,Dr Guy N Elston,University of Queensland,Anatomical substrates for primate executive cortical function,2001,2002,
210256,Dr Peter G Noakes,University of Queensland,Role of synaptogenesis in developmental motoneuron cell death,2001,2002,
210261,Dr Alan I Cassady,University of Queensland,Osteoclast- specific gene regulation,2001,2002,
210272,Dr Yvonne M Darlington,University of Queensland,Building best practice in child protection at the intersection of child protection and adult mental health services,2001,2002,
210273,Prof David A Hume,University of Queensland,Transcriptional regulation of the c-fms (CSF-1R) gene in macrophages.,2001,2002,
210278,Prof Michael J Waters,University of Queensland,Genetic Programs Induced by Growth Hormone,2001,2002,
210295,A/Pr Peter  Wilce,University of Queensland,Molecular cell biology of hNP22: role in  alcohol dependence,2001,2002,
210297,Prof Jake M Najman,University of Queensland,Mothers' History of Mental Health Impairment and its Impact during Mid-Life,2001,2002,
210298,Prof Jake M Najman,University of Queensland,Pathways to Mental Health and Obesity in Young Adults:  A Longitudinal Study,2001,2002,
210307,Dr Richard J. Lewis,University of Queensland,Engineering subtype selective inhibitors of voltage-sensitive sodium channels,2001,2002,
